Date,Dividends
1/4/1985,0.116667
4/3/1985,0.125
7/3/1985,0.125
10/4/1985,0.125
1/6/1986,0.125
4/4/1986,0.133333
7/3/1986,0.133333
10/6/1986,0.133333
1/5/1987,0.133333
4/6/1987,0.145
7/6/1987,0.145
1/4/1988,0.145
4/4/1988,0.155
7/1/1988,0.155
10/4/1988,0.155
1/3/1989,0.155
4/4/1989,0.1625
7/5/1989,0.1625
10/3/1989,0.1625
1/4/1990,0.1625
4/4/1990,0.1725
7/3/1990,0.1725
10/3/1990,0.1725
1/4/1991,0.1725
4/4/1991,0.1775
7/3/1991,0.1775
10/4/1991,0.1775
1/6/1992,0.1775
4/6/1992,0.1825
7/6/1992,0.1825
10/5/1992,0.1825
1/4/1993,0.1825
4/2/1993,0.18875
7/2/1993,0.1885
10/4/1993,0.1885
1/4/1994,0.1885
4/4/1994,0.1975
7/1/1994,0.1975
10/4/1994,0.1975
1/4/1995,0.1975
4/4/1995,0.206
7/6/1995,0.206
10/5/1995,0.206
1/8/1996,0.206
4/8/1996,0.215
7/8/1996,0.215
10/8/1996,0.215
1/8/1997,0.215
3/25/1997,0.224
7/8/1997,0.224
10/8/1997,0.224
1/7/1998,0.224
4/7/1998,0.232
7/8/1998,0.232
10/7/1998,0.232
1/6/1999,0.232
4/7/1999,0.242
7/7/1999,0.243
9/7/1999,0.244
1/6/2000,0.244
4/6/2000,0.254
7/6/2000,0.254
10/5/2000,0.254
1/8/2001,0.253
4/6/2001,0.256
7/6/2001,0.256
10/5/2001,0.256
1/8/2002,0.256
4/8/2002,0.27
7/8/2002,0.27
10/8/2002,0.27
1/8/2003,0.27
4/8/2003,0.333
7/8/2003,0.383
10/8/2003,0.383
1/7/2004,0.313
4/6/2004,0.313
7/7/2004,0.313
10/6/2004,0.313
1/6/2005,0.323
4/6/2005,0.323
7/6/2005,0.323
10/5/2005,0.323
1/6/2006,0.333
4/6/2006,0.333
7/6/2006,0.333
10/5/2006,0.333
1/8/2007,0.355
4/5/2007,0.355
7/6/2007,0.355
10/5/2007,0.355
1/8/2008,0.4
4/8/2008,0.4
7/8/2008,0.4
10/8/2008,0.4
1/7/2009,0.41
4/7/2009,0.41
7/8/2009,0.41
10/7/2009,0.41
1/6/2010,0.42
4/7/2010,0.42
7/7/2010,0.42
10/6/2010,0.42
1/6/2011,0.43
4/6/2011,0.43
7/6/2011,0.43
10/5/2011,0.43
1/6/2012,0.44
4/5/2012,0.44
7/6/2012,0.44
10/5/2012,0.44
1/8/2013,0.45
4/8/2013,0.45
7/8/2013,0.45
10/8/2013,0.45
1/8/2014,0.46
4/8/2014,0.46
7/8/2014,0.46
10/8/2014,0.46
1/7/2015,0.47
4/8/2015,0.47
7/8/2015,0.47
10/7/2015,0.47
1/6/2016,0.48
4/6/2016,0.48
7/6/2016,0.48
10/5/2016,0.48
1/6/2017,0.49
4/6/2017,0.49
7/6/2017,0.49
10/6/2017,0.49
1/9/2018,0.5
4/9/2018,0.5
7/9/2018,0.5
10/9/2018,0.5
1/9/2019,0.51
4/9/2019,0.51
7/9/2019,0.51
10/9/2019,0.51
1/9/2020,0.52
4/8/2020,0.52
7/9/2020,0.52
10/8/2020,0.52
1/8/2021,0.52
4/8/2021,0.52
7/8/2021,0.52
10/7/2021,0.52
1/7/2022,0.52
4/13/2022,0.278
7/8/2022,0.278
